fare_amount,speed,trip_distance,duration,total_amount,tip_amount,tolls_amount,target
62.9,49.17224558189169,15.826000000000002,31.496666666666666,90.63600000000001,5.341091235199367,0.2094217522770041,1.0
76.8270131640602,65.50946451050919,25.703907335523684,42.108333333333334,80.82730414567665,0.0,3.1634828790631655,1.0
46.523809523809526,37.90297182484287,15.083968253968253,48.016666666666666,61.13055555555555,9.181507936507936,3.5657142857142854,1.0
73.625,42.37331383631073,18.6825,49.35,92.14,3.965,8.431485847121262,1.0
66.57525830461745,35.543693039691526,25.406666666666666,34.27222222222222,90.74015077093736,0.0,9.376870830086494,1.0
65.54469767618623,55.03138169491525,24.59583081411655,47.2,70.78504770630425,0.0,0.762149306828328,1.0
71.0,62.79152332488246,8.99,13.791666666666666,88.31,5.0,5.640595096152463,1.0
61.35502003140322,57.092511674429225,22.2324,38.55333333333333,81.3266748068575,4.502966760351496,9.108014768259917,1.0
69.33333333333333,43.084571643701594,17.383333333333333,43.53055555555555,91.3250473472399,4.400999788204322,7.555356077015697,1.0
61.54987950661615,44.358944187211726,20.375,46.18333333333333,68.74978310764732,6.796307559369434,4.578137006142624,1.0
45.22390082747078,64.53221848615385,19.78884717316716,54.166666666666664,58.49230005983616,5.0,5.1564361124390405,1.0
68.57142857142857,43.3976332542408,17.961428571428574,40.123809523809534,94.49,10.904285714285717,6.789339694431639,1.0
68.29238660293925,26.279868697060863,19.6,72.01666666666667,92.3,0.0,10.5,0.0
68.83333333333333,39.5032704954861,17.29,42.322222222222216,87.82366832313194,6.720455647546017,8.675666928488036,1.0
63.10959408228789,56.30899912580061,24.060714285714287,42.62023809523809,81.58409586763982,10.884285714285712,8.583821552493895,1.0
50.437558848881345,49.53639398341506,19.427045432614726,38.1,82.2269541832148,1.5,10.5,1.0
73.02702702702703,45.943682894120954,19.27459459459461,61.09076576576577,90.41146671091549,10.497364864864863,7.117738326011715,1.0
64.82,39.0269246434065,14.355199999999995,36.906,84.5332,8.3112,7.826710493381889,1.0
67.98634868421053,53.64022561223288,17.616973684210514,35.413212719298244,92.72833881578985,9.68833881578948,3.689515548871935,1.0
67.16666666666667,37.022507436001675,18.346666666666668,48.77222222222222,86.67333333333332,7.2733333333333325,5.907446805627974,1.0
65.00684931506851,56.59861870260379,16.802260273972607,31.021689497716896,89.7247260273972,10.410753424657534,0.017112134055916217,1.0
67.0,39.92465941009553,16.79,41.16111111111111,88.85141253374655,5.41625362795878,7.566293671285396,1.0
45.82167129319083,24.918093682758624,14.315690818307678,132.91666666666669,48.463293793089406,0.0,1.1369870268818805,0.0
50.26353401598729,35.24002377651927,15.294285714285715,45.31190476190476,65.89989256612749,10.071428571428571,1.8615543555452223,1.0
66.66666666666667,53.461360599991906,17.223333333333333,31.6,89.736064017601,10.02190911720782,0.20649083938752863,1.0
66.2492718446602,50.265425966381464,16.802208737864067,47.13256472491909,91.11179611650476,10.688446601941754,6.408541183100983,1.0
68.16671938145659,63.22479966292806,25.725,39.85555555555555,86.94197540587048,6.166666666666668,2.9348809608069306,1.0
65.98674046823102,48.42552790387085,22.629444444444445,47.5462962962963,87.31592134223516,12.605555555555556,3.424838723067775,1.0
63.85401459854015,42.36161591547957,15.450364963503652,38.28844282238444,87.85686131386854,10.410437956204381,8.438118969721952,1.0
57.650389054191315,36.51642011049522,20.655,58.81666666666667,64.40494183100974,2.393586456769879,3.0189104440989736,1.0
65.54918032786885,41.60681254086479,16.236516393442635,51.33210382513662,92.64245901639332,12.4805737704918,7.524258902582255,1.0
66.36559139784947,38.18554404006383,15.865376344086027,57.90412186379929,93.23677419354843,13.249999999999998,6.75421748868879,1.0
52.8737681379721,41.68085179856116,23.0,53.28333333333333,61.653612746481166,3.299298784664157,4.381081537340329,1.0
64.64285714285714,46.450994669358145,16.05078817733991,49.35821018062397,89.81743842364523,11.171379310344825,4.63904229497927,1.0
50.523809523809526,37.77155335151792,14.246468253968255,47.7,64.31305555555555,7.48734126984127,4.525714285714286,1.0
55.069269887869,38.22666461464447,16.291428571428572,41.911904761904765,82.85147642788026,8.20142857142857,9.957142857142856,1.0
67.72921348314607,50.40146710541632,17.458561797752814,41.807303370786514,93.91391011235956,10.53067415730337,4.501027898682311,1.0
70.5,30.68625476688868,16.7,52.55,87.04998886325414,6.444665721804413,10.5,0.0
66.3936170212766,40.89754773825191,16.304308510638304,61.06391843971631,92.8749999999999,12.604361702127655,6.587155358426428,1.0
48.94773907573112,37.75232343624162,21.36,54.63333333333333,60.34130098394657,0.0,5.961793388347513,1.0
62.733606557377044,45.16775327654731,15.108770491803284,34.65150273224044,88.4202459016393,12.088688524590161,9.000222935987706,1.0
62.25757575757576,45.99004524147732,15.045151515151517,34.91287878787879,86.96939393939398,11.012424242424245,9.242864572521494,1.0
62.54545777586006,53.932644053712046,22.8625,44.49583333333333,74.25510465606934,6.112958219000555,3.11980646693581,1.0
0.0,16.810591711995933,23.2,30.7,12.8,0.0,1.712907614052901,1.0
46.6510409565103,53.39599826947754,19.85951980253666,72.73333333333333,51.8790083109065,0.0,6.355701700810895,1.0
60.31534090909091,46.917158784311674,13.540000000000004,38.508901515151514,84.24318181818171,9.866420454545457,8.686141228759567,1.0
50.26910275026357,37.686910395709894,17.25640698287231,71.44169653524494,67.89692098012434,12.717777777777783,1.171398338920064,1.0
59.63274354263436,46.60241650224214,19.9335850972732,59.46666666666667,66.617529647456,6.391427926118072,1.8464580261021506,1.0
67.97457627118644,43.928544018769884,17.13745762711865,40.734463276836145,92.77067796610173,11.407118644067795,4.611157474603188,1.0
